Unnamed: 0,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_fec,candidate_fec_name
1849207,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,401 - BLOXOM,Gary Johnson,johnson,US President,statewide,False,libertarian,total,9,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849208,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,401 - BLOXOM,Jill Stein,stein,US President,statewide,False,green,total,1,P20003984,"STEIN, JILL"
1849209,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,401 - BLOXOM,Donald Trump,trump,US President,statewide,False,republican,total,342,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
1849210,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,401 - BLOXOM,[Write-in],in,US President,statewide,True,,total,0,,
1849211,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,401 - BLOXOM,Evan McMullin,mcmullin,US President,statewide,False,independent,total,3,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849212,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,402 - PARKSLEY,Hillary Clinton,clinton,US President,statewide,False,democratic,total,218,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
1849213,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,402 - PARKSLEY,Gary Johnson,johnson,US President,statewide,False,libertarian,total,16,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849214,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,402 - PARKSLEY,Jill Stein,stein,US President,statewide,False,green,total,5,P20003984,"STEIN, JILL"
1849215,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,402 - PARKSLEY,Donald Trump,trump,US President,statewide,False,republican,total,489,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
1849216,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,402 - PARKSLEY,[Write-in],in,US President,statewide,True,,total,1,,
1849217,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,402 - PARKSLEY,Evan McMullin,mcmullin,US President,statewide,False,independent,total,7,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849218,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,403 - SAXIS,Hillary Clinton,clinton,US President,statewide,False,democratic,total,42,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
1849219,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,403 - SAXIS,Gary Johnson,johnson,US President,statewide,False,libertarian,total,1,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849220,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,403 - SAXIS,Jill Stein,stein,US President,statewide,False,green,total,1,P20003984,"STEIN, JILL"
1849221,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,403 - SAXIS,Donald Trump,trump,US President,statewide,False,republican,total,153,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
1849222,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,403 - SAXIS,[Write-in],in,US President,statewide,True,,total,0,,
1849223,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,403 - SAXIS,Evan McMullin,mcmullin,US President,statewide,False,independent,total,3,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849224,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,501 - MAPPSVILLE,Hillary Clinton,clinton,US President,statewide,False,democratic,total,397,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
1849225,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,501 - MAPPSVILLE,Gary Johnson,johnson,US President,statewide,False,libertarian,total,10,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849226,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,501 - MAPPSVILLE,Jill Stein,stein,US President,statewide,False,green,total,7,P20003984,"STEIN, JILL"
1849227,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,501 - MAPPSVILLE,Donald Trump,trump,US President,statewide,False,republican,total,243,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
1849228,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,501 - MAPPSVILLE,[Write-in],in,US President,statewide,True,,total,5,,
1849229,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,501 - MAPPSVILLE,Evan McMullin,mcmullin,US President,statewide,False,independent,total,1,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849230,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,502 - RUE,Hillary Clinton,clinton,US President,statewide,False,democratic,total,385,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
1849231,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,502 - RUE,Gary Johnson,johnson,US President,statewide,False,libertarian,total,9,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849232,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,502 - RUE,Jill Stein,stein,US President,statewide,False,green,total,2,P20003984,"STEIN, JILL"
1849233,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,502 - RUE,Donald Trump,trump,US President,statewide,False,republican,total,119,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
1849234,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,502 - RUE,[Write-in],in,US President,statewide,True,,total,2,,
